# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
10,1,0.024923086166381836,8509,20,2,249,202
15,1,1.1217501163482666,10235,73,18,15413,13363
20,1,19.417414903640747,11047,137,38,212813,191869
25,1,60.001373291015625,15913,210,0,535324,495089
30,1,60.000767946243286,16273,283,0,441889,416279
35,1,60.001219034194946,33966,550,24181,453569,299573
40,1,60.00048589706421,22555,482,0,331157,317065
45,1,60.00328874588013,24618,602,0,293001,281967
50,1,60.00309777259827,20896,642,0,253713,246077
