# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
180,1,600.0000071525574,inf,,5698957,,
181,1,600.0000557899475,inf,,5662400,,
182,1,600.0001058578491,inf,,5624777,,
183,1,600.000039100647,inf,,5595530,,
184,1,600.0000581741333,inf,,5522209,,
185,1,600.0000519752502,inf,,5507319,,
186,1,600.0001080036163,inf,,5510369,,
187,1,600.000011920929,inf,,5481963,,
188,1,600.0000169277191,inf,,5457390,,
189,1,600.000011920929,inf,,5420311,,
190,1,600.0000698566437,inf,,5343022,,
191,1,600.0001120567322,inf,,5320938,,
192,1,600.0000638961792,inf,,5326146,,
193,1,600.0000441074371,inf,,5329063,,
194,1,600.0000162124634,inf,,5290476,,
195,1,600.0000078678131,inf,,5268343,,
196,1,600.000039100647,inf,,5190285,,
197,1,600.0000128746033,inf,,5172568,,
198,1,600.000078201294,inf,,5178159,,
199,1,600.0000469684601,inf,,5158516,,
200,1,600.0000507831573,inf,,5132003,,
