# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
178,1,601.0783469676971,54527,200,0,376,0
179,1,600.0866289138794,50282,200,0,371,0
180,1,600.3234798908234,51106,200,1,372,1
181,1,600.3168370723724,53044,200,1,363,1
182,1,601.5301649570465,52679,200,0,360,0
183,1,601.6091482639313,52686,200,0,362,0
184,1,600.0635251998901,53354,200,0,350,0
185,1,600.6160531044006,52079,200,0,354,0
186,1,600.0704729557037,54624,200,0,345,0
187,1,600.0504057407379,52393,200,1,334,1
188,1,600.9456219673157,52395,200,2,248,2
189,1,601.6386799812317,52968,200,0,196,0
190,1,600.5474717617035,50337,200,0,181,0
191,1,602.7262778282166,50962,200,0,216,0
192,1,600.019119977951,53536,200,2,158,2
193,1,606.5529699325562,54669,200,0,107,0
194,1,604.2886719703674,51293,200,0,112,0
195,1,601.6972379684448,54232,200,0,161,0
196,1,601.5360331535339,52056,200,0,238,0
197,1,600.2868936061859,53258,200,0,337,0
198,1,603.7966542243958,54870,200,1,163,1
199,1,600.2899770736694,53710,200,0,125,0
200,1,600.1206488609314,54958,200,0,325,0
