# Cities,Seed,Running time (sec.),Cost of best tour found (*=optimal),Max # of stored states at a given time,# of BSSF updates,Total # of states created,Total # of states pruned
142,1,61.06729507446289,inf,200,0,42,0
143,1,61.07178282737732,inf,200,0,42,0
144,1,60.61817407608032,inf,200,0,41,0
145,1,61.34541702270508,inf,200,0,41,0
146,1,61.41657590866089,inf,200,0,41,0
147,1,60.63663911819458,inf,200,0,40,0
148,1,60.75663495063782,inf,200,0,40,0
149,1,61.3816602230072,inf,200,0,40,0
150,1,60.01743197441101,inf,200,0,39,0
151,1,61.10153603553772,inf,200,0,39,0
152,1,61.547138929367065,inf,200,0,39,0
153,1,61.2748122215271,inf,200,0,39,0
154,1,60.783649921417236,inf,200,0,38,0
155,1,60.47029709815979,inf,200,0,38,0
156,1,61.59351992607117,inf,200,0,38,0
157,1,60.52840995788574,inf,200,0,37,0
158,1,60.669487953186035,inf,200,0,37,0
159,1,61.250483989715576,inf,200,0,37,0
160,1,61.603439807891846,inf,200,0,37,0
161,1,60.53505825996399,inf,200,0,36,0
162,1,60.928227186203,inf,200,0,36,0
163,1,61.446157932281494,inf,200,0,36,0
164,1,60.45771312713623,inf,200,0,35,0
165,1,60.419739961624146,inf,200,0,35,0
166,1,60.21436810493469,inf,200,0,35,0
167,1,60.7630569934845,inf,200,0,35,0
168,1,61.29167175292969,inf,200,0,35,0
169,1,60.08692002296448,inf,200,0,34,0
170,1,60.44118690490723,inf,200,0,34,0
171,1,61.14846205711365,inf,200,0,34,0
172,1,61.323601961135864,inf,200,0,34,0
173,1,61.517908811569214,inf,200,0,34,0
174,1,61.734778881073,inf,200,0,34,0
175,1,60.54190230369568,inf,200,0,33,0
176,1,61.684926986694336,inf,200,0,34,0
177,1,61.23195719718933,inf,200,0,34,0
178,1,61.499354124069214,inf,200,0,34,0
179,1,61.84849786758423,inf,200,0,34,0
180,1,61.544628858566284,inf,200,0,34,0
181,1,61.67143702507019,inf,200,0,34,0
182,1,60.5044059753418,inf,200,0,33,0
183,1,60.258086919784546,inf,200,0,33,0
184,1,61.628812074661255,inf,200,0,33,0
185,1,60.62578892707825,inf,200,0,32,0
186,1,60.62873291969299,inf,200,0,32,0
187,1,60.41149091720581,inf,200,0,32,0
188,1,60.14917612075806,inf,200,0,32,0
189,1,60.9396858215332,inf,200,0,33,0
190,1,60.945462703704834,inf,200,0,33,0
191,1,61.246718883514404,inf,200,0,33,0
192,1,60.19514513015747,inf,200,0,32,0
193,1,60.633944034576416,inf,200,0,32,0
194,1,61.23823118209839,inf,200,0,32,0
195,1,61.7623770236969,inf,200,0,32,0
196,1,61.81965494155884,inf,200,0,32,0
197,1,62.035439014434814,inf,200,0,32,0
198,1,60.32287573814392,inf,200,0,31,0
199,1,61.03442025184631,inf,200,0,31,0
200,1,61.315492153167725,inf,200,0,31,0
